Year,City,Sport,Athlete,Country,Gender,Event,Medal,,
1924,Chamonix,Skating,"Be_CKL, Willy",AUT,Men,Individual,Silver,,
1924,Chamonix,Biathlon,"BREMER, V.E.",FIN,Men,Military Patrol,Silver,,
1924,Chamonix,Biathlon,"ESKELINEN, A.",FIN,Men,Military Patrol,Silver,,
1924,Chamonix,Biathlon,"HIRVONEN, H.",FIN,Men,Military Patrol,Silver,,
1924,Chamonix,Biathlon,"LAPPALAINEN, Martti",FIN,Men,Military Patrol,Silver,,
1924,Chamonix,Skating,"JAKOBSSON, Ludowika",FIN,Women,Pairs,Silver,,
1924,Chamonix,Skating,"JAKOBSSON, Walter",FIN,Men,Pairs,Silver,,
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,10000M,Silver,,
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,5000M,Silver,,
1924,Chamonix,Bobsleigh,"ARNOLD, Thomas",GBR,Men,Four-Man,Silver,,
1924,Chamonix,Bobsleigh,"BROOME, Ralpf",GBR,Men,Four-Man,Silver,,
1924,Chamonix,Bobsleigh,"RICHARDSON, Alexander",GBR,Men,Four-Man,Silver,,
1924,Chamonix,Bobsleigh,"SOHER, Rodney",GBR,Men,Four-Man,Silver,,
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,1500M,Silver,,
1924,Chamonix,Skating,"OLSEN, Oskar",NOR,Men,500M,Silver,,
1924,Chamonix,Skating,"LARSEN, Roald",NOR,Men,Combined (4 Events),Silver,,
1924,Chamonix,Skiing,"GROTTUMSBRAATEN, Johan",NOR,Men,18KM,Silver,,
1924,Chamonix,Skiing,"STRe_MSTAD, Thoralf",NOR,Men,50KM,Silver,,
1924,Chamonix,Skiing,"STRe_MSTAD, Thoralf",NOR,Men,Individual,Silver,,
1924,Chamonix,Skiing,"BONNA, Narve",NOR,Men,K90 Individual (70M),Silver,,
1924,Chamonix,Curling,"AHLEN, J.P.",SWE,Men,Curling,Silver,,
1924,Chamonix,Curling,"KRONLUND, Carl Augustus Verner",SWE,Men,Curling,Silver,,
1924,Chamonix,Curling,"ODLUND, T.-M.",SWE,Men,Curling,Silver,,
